datetime	open	high	low	close	volume
28.03.2018 00:00	50.8	50.8	50.8	50.8	4
08.06.2018 00:00	50.8	50.8	50.8	50.8	1
04.01.2019 00:00	31.8	36.8	31.8	36.8	2
08.01.2019 00:00	50.8	50.8	50.8	50.8	1
15.01.2019 00:00	50.8	50.8	50.8	50.8	1
25.06.2019 00:00	50.8	50.8	50.8	50.8	1
02.09.2019 00:00	50.8	51.8	50.8	51.8	3
05.09.2019 00:00	64.8	71.8	64.8	71.8	18
06.09.2019 00:00	99.8	99.8	71.8	75.8	674
09.09.2019 00:00	78.80000000000001	78.80000000000001	54.8	69.8	114
10.09.2019 00:00	75.8	76.80000000000001	75.8	76.80000000000001	479
11.09.2019 00:00	82.80000000000001	82.80000000000001	73.8	73.8	1023
12.09.2019 00:00	71.8	74.8	71.8	74.8	388
13.09.2019 00:00	72.8	73.8	72.8	73.8	294
16.09.2019 00:00	71.8	71.8	69.8	69.8	77
17.09.2019 00:00	68.8	70.8	41.8	64.8	120
18.09.2019 00:00	62.8	78.80000000000001	61.8	66.8	1243
19.09.2019 00:00	66.8	70.8	65.8	67.8	145
20.09.2019 00:00	67.8	74.8	64.8	69.8	535
23.09.2019 00:00	73.8	73.8	67.8	68.8	81
24.09.2019 00:00	69.8	71.8	66.8	67.8	206
25.09.2019 00:00	66.8	67.8	66.8	67.8	12
26.09.2019 00:00	70.8	79.80000000000001	68.8	71.8	336
27.09.2019 00:00	70.8	71.8	64.8	65.8	86
30.09.2019 00:00	69.8	75.8	64.8	70.8	219
01.10.2019 00:00	68.8	69.8	63.8	67.8	144
02.10.2019 00:00	62.8	69.8	62.8	66.8	115
03.10.2019 00:00	65.8	66.8	50.8	60.8	665
04.10.2019 00:00	61.8	67.8	57.8	65.8	349
07.10.2019 00:00	66.8	66.8	58.8	63.8	501
08.10.2019 00:00	62.8	62.8	59.8	61.8	44
09.10.2019 00:00	59.8	65.8	59.8	61.8	36
10.10.2019 00:00	63.8	69.8	63.8	64.8	55
11.10.2019 00:00	72.8	72.8	61.8	63.8	119
14.10.2019 00:00	67.8	86.80000000000001	65.8	68.8	1276
15.10.2019 00:00	69.8	69.8	62.8	66.8	374
16.10.2019 00:00	66.8	68.8	63.8	65.8	72
17.10.2019 00:00	65.8	68.8	64.8	64.8	70
18.10.2019 00:00	64.8	66.8	62.8	63.8	134
21.10.2019 00:00	64.8	67.8	61.8	63.8	156
22.10.2019 00:00	61.8	65.8	60.8	64.8	63
23.10.2019 00:00	61.8	64.8	61.8	63.8	43
24.10.2019 00:00	61.8	63.8	59.8	63.8	27
25.10.2019 00:00	60.8	64.8	60.8	64.8	43
28.10.2019 00:00	64.8	64.8	62.8	63.8	13
29.10.2019 00:00	64.8	64.8	61.8	63.8	61
30.10.2019 00:00	62.8	64.8	60.8	63.8	182
31.10.2019 00:00	61.8	63.8	60.8	62.8	90
01.11.2019 00:00	61.8	68.8	60.8	65.8	421
05.11.2019 00:00	63.8	65.8	62.8	62.8	77
06.11.2019 00:00	62.8	62.8	61.8	62.8	80
07.11.2019 00:00	61.8	64.8	60.8	63.8	74
08.11.2019 00:00	64.8	64.8	62.8	62.8	7
11.11.2019 00:00	61.8	67.8	61.8	63.8	71
12.11.2019 00:00	63.8	63.8	63.8	63.8	5
13.11.2019 00:00	64.8	68.8	61.8	61.8	61
14.11.2019 00:00	61.8	63.8	61.8	61.8	24
15.11.2019 00:00	61.8	62.8	61.8	61.8	11
18.11.2019 00:00	62.8	75.8	60.8	61.8	234
19.11.2019 00:00	62.8	62.8	61.8	61.8	2
20.11.2019 00:00	61.8	65.8	61.8	63.8	120
21.11.2019 00:00	63.8	72.8	62.8	62.8	55
22.11.2019 00:00	61.8	63.8	61.8	62.8	46
25.11.2019 00:00	61.8	62.8	61.8	62.8	19
27.11.2019 00:00	62.8	62.8	61.8	62.8	6
29.11.2019 00:00	62.8	63.8	61.8	62.8	40
02.12.2019 00:00	61.8	61.8	61.8	61.8	2
03.12.2019 00:00	61.8	61.8	61.8	61.8	5
04.12.2019 00:00	61.8	63.8	61.8	62.8	25
05.12.2019 00:00	61.8	62.8	61.8	61.8	14
09.12.2019 00:00	60.8	69.8	60.8	62.8	69
10.12.2019 00:00	62.8	62.8	62.8	62.8	2
11.12.2019 00:00	62.8	62.8	61.8	62.8	11
12.12.2019 00:00	61.8	62.8	61.8	61.8	19
13.12.2019 00:00	61.8	61.8	61.8	61.8	1
17.12.2019 00:00	60.8	60.8	49.8	56.8	10419
18.12.2019 00:00	57.8	58.8	55.8	55.8	458
19.12.2019 00:00	56.8	56.8	55.8	55.8	229
20.12.2019 00:00	54.8	54.8	53.8	54.8	298
23.12.2019 00:00	53.8	55.8	52.8	53.8	493
24.12.2019 00:00	53.8	53.8	52.8	53.8	49
25.12.2019 00:00	53.8	53.8	51.8	52.8	219
26.12.2019 00:00	52.8	53.8	50.8	52.8	97
27.12.2019 00:00	52.8	53.8	51.8	53.8	142
30.12.2019 00:00	51.8	53.8	51.8	51.8	156
03.01.2020 00:00	50.8	52.8	50.8	51.8	27
06.01.2020 00:00	52.8	52.8	51.8	51.8	34
08.01.2020 00:00	51.8	52.8	50.8	51.8	50
09.01.2020 00:00	50.8	52.8	40.8	51.8	673
10.01.2020 00:00	51.8	52.8	50.8	51.8	228
13.01.2020 00:00	51.8	52.8	51.8	51.8	37
14.01.2020 00:00	51.8	54.8	50.8	53.8	623
15.01.2020 00:00	55.8	55.8	51.8	53.8	347
16.01.2020 00:00	54.8	55.8	53.8	53.8	178
17.01.2020 00:00	54.8	54.8	53.8	53.8	23
20.01.2020 00:00	54.8	54.8	52.8	53.8	98
21.01.2020 00:00	53.8	55.8	52.8	53.8	84
22.01.2020 00:00	52.8	54.8	52.8	54.8	15
23.01.2020 00:00	53.8	54.8	53.8	53.8	56
24.01.2020 00:00	53.8	53.8	52.8	53.8	101
27.01.2020 00:00	52.8	53.8	44.8	53.8	256
28.01.2020 00:00	51.8	53.8	51.8	52.8	47
29.01.2020 00:00	52.8	60.8	52.8	55.8	1054
30.01.2020 00:00	55.8	56.8	53.8	56.8	64
31.01.2020 00:00	56.8	63.8	54.8	54.8	339
03.02.2020 00:00	52.8	59.8	52.8	55.8	99
04.02.2020 00:00	55.8	56.8	54.8	54.8	118
05.02.2020 00:00	55.8	56.8	55.8	55.8	55
06.02.2020 00:00	55.8	56.8	55.8	55.8	77
07.02.2020 00:00	59.8	59.8	54.8	55.8	172
10.02.2020 00:00	54.8	55.8	53.8	54.8	59
11.02.2020 00:00	55.8	55.8	54.8	54.8	78
12.02.2020 00:00	58.8	58.8	54.8	56.8	952
13.02.2020 00:00	56.8	56.8	54.8	55.8	188
14.02.2020 00:00	58.8	58.8	53.8	54.8	375
17.02.2020 00:00	55.8	55.8	54.8	55.8	172
18.02.2020 00:00	55.8	57.8	54.8	55.8	438
19.02.2020 00:00	56.8	58.8	54.8	55.8	2372
20.02.2020 00:00	56.8	56.8	54.8	55.8	618
21.02.2020 00:00	54.8	56.8	54.8	55.8	405
25.02.2020 00:00	54.8	54.8	51.8	53.8	1104
26.02.2020 00:00	52.8	53.8	51.8	53.8	156
27.02.2020 00:00	52.8	53.8	50.8	52.8	293
28.02.2020 00:00	49.8	50.8	39.8	49.8	295
02.03.2020 00:00	50.8	52.8	49.8	52.8	25
03.03.2020 00:00	52.8	54.8	51.8	52.8	496
04.03.2020 00:00	52.8	52.8	52.8	52.8	34
05.03.2020 00:00	52.8	52.8	51.8	52.8	12
06.03.2020 00:00	51.8	52.8	48.8	50.8	118
10.03.2020 00:00	50.8	52.8	46.8	49.8	113
11.03.2020 00:00	51.8	52.8	49.8	50.8	157
12.03.2020 00:00	48.8	48.8	40.8	42.8	231
13.03.2020 00:00	45.8	46.8	43.8	44.8	82
16.03.2020 00:00	44.8	49.8	37.8	43.8	118
17.03.2020 00:00	44.8	44.8	43.8	44.8	31
18.03.2020 00:00	43.8	43.8	38.8	41.8	69
19.03.2020 00:00	41.8	42.8	41.8	41.8	18
20.03.2020 00:00	44.8	48.8	44.8	47.8	197
23.03.2020 00:00	47.8	49.8	47.8	49.8	43
24.03.2020 00:00	48.8	51.8	48.8	51.8	15
25.03.2020 00:00	51.8	51.8	48.8	48.8	157
26.03.2020 00:00	50.8	50.8	49.8	49.8	18
27.03.2020 00:00	51.8	51.8	47.8	47.8	32
30.03.2020 00:00	48.8	54.8	48.8	52.8	505
31.03.2020 00:00	50.8	52.8	50.8	52.8	71
01.04.2020 00:00	51.8	52.8	49.8	50.8	52
02.04.2020 00:00	52.8	52.8	49.8	50.8	46
03.04.2020 00:00	49.8	54.8	49.8	51.8	421
06.04.2020 00:00	49.8	54.8	49.8	51.8	78
07.04.2020 00:00	51.8	53.8	51.8	53.8	266
08.04.2020 00:00	52.8	53.8	51.8	51.8	129
09.04.2020 00:00	53.8	54.8	51.8	52.8	52
10.04.2020 00:00	51.8	52.8	51.8	52.8	14
13.04.2020 00:00	51.8	53.8	51.8	52.8	26
14.04.2020 00:00	53.8	54.8	51.8	52.8	880
15.04.2020 00:00	52.8	53.8	48.8	51.8	547
17.04.2020 00:00	51.8	52.8	51.8	51.8	31
20.04.2020 00:00	53.8	53.8	50.8	51.8	125
21.04.2020 00:00	51.8	63.8	50.8	53.8	10445
22.04.2020 00:00	54.8	60.8	51.8	53.8	3034
23.04.2020 00:00	52.8	53.8	51.8	53.8	1018
24.04.2020 00:00	51.8	53.8	51.8	53.8	558
27.04.2020 00:00	52.8	53.8	51.8	52.8	467
28.04.2020 00:00	51.8	53.8	51.8	53.8	68
29.04.2020 00:00	53.8	53.8	51.8	53.8	607
30.04.2020 00:00	51.8	53.8	51.8	51.8	49
04.05.2020 00:00	51.8	52.8	51.8	52.8	72
05.05.2020 00:00	51.8	52.8	51.8	52.8	24
06.05.2020 00:00	52.8	53.8	51.8	52.8	265
07.05.2020 00:00	52.8	52.8	51.8	52.8	117
08.05.2020 00:00	52.8	52.8	51.8	52.8	85
12.05.2020 00:00	52.8	53.8	51.8	52.8	593
13.05.2020 00:00	50.8	52.8	50.8	51.8	86
14.05.2020 00:00	51.8	51.8	50.8	51.8	103
15.05.2020 00:00	51.8	52.8	51.8	51.8	47
18.05.2020 00:00	51.8	51.8	51.8	51.8	121
19.05.2020 00:00	51.8	51.8	50.8	51.8	78
20.05.2020 00:00	51.8	51.8	50.8	51.8	209
21.05.2020 00:00	50.8	52.8	50.8	51.8	48
